card|card.id|family|type|title.en|title.it|caption.en|caption.it|description.en|description.it|knowledge.points|ritual|ritual.study|ritual.trasmutation|ritual.sacrifice
|NECRONOMICON|FW|C|Necronomicon|Necronomicon|Supreme Wisdom|Conoscenza Ultima|For a full round you can choose in which search order you play. 1 KP for each Forbidden Wisdom card in your own.|Per un intero Round puoi scegliere in che Ordine di Ricerca giocare. 1 PC per ogni carta Sapienza Proibita in tuo possesso.|?|M|1 FW + 1 EN|3 OBS|1 DM + 1 EN + 1 FW
|AKLO|FW|I|Aklo|Aklo|Great Old Ones Language|Lingua degli Antichi|Consider a requisite of any Ritual Object as fulfilled|Considera risolto un requisito di un Oggetto Rituale.|1||||
|JADETALISMAN|FW|I|Jade Talisman|Amuleto di Giada|Stalking Hound|Segugio Persecutore|Put this card on one opponent Dark Master. Counts as Elders' Sign until the end of the turn.|Poni la carta su un Maestro Oscuro avversario, conta come un Segno degli Antichi fino a fine turno.|1||||
|SILVERKEY|FW|I|Silver Key|Chiave d'Argento|Key for Other Dimensions|Chiave per le Dimensioni|Discard an Elders' Sign from an Arcane Place|Scarta un Segno degli Antichi su un Luogo Arcano.|2|N|2 FW|2 FW Imm + 1 Place|3 FW
|ESSENTIALSALTS|FW|A|Essential Salts|Sali Essenziali|Bring back the Ancestors|Riportare indietro gli avi|You can bring back a Dark Master from your discards pile|Puoi riprendere un tuo Maestro Oscuro scartato.|2|D|2 DM|2 DM + 1 EN|2 EN + 1 DM
|MINDEXCHANGE|FW|I|Mind Exchange|Scambio della Mente|Tear of your own body|Strappato dal proprio corpo|Replace your Searcher marker with one of your opponent's|Scambia il tuo segnalino Cercatore con uno avversario|2||||
|STELEOFDAGON|FW|I|Stele of Dagon|Stele di Dagon|Disconcerting Revelation|Rivelazione Sconcertante|You gain 3 KP|Ottieni 3 PC|3|M|2 EN|2 FW|1 EN + 2 FW
|DREAMSOFCTHULHU|FW|I|Dreams of Cthulhu|Sogni di Cthulhu|Presage of Insanity|Presagio di Follia|You gain KPs equal to the number of all DM and FW cards in your own|Ricevi PC pari alla somma delle carte Sapienza Proibita e Maestro Oscuro in tuo possesso.|?|M|1 DM + 1 FW|3 FW Imm|1 DM + 2 FW
|ALAZIF|FW|C|Alazif|Alazif|Early Knowledge|Sapienza Originaria|You gain one more KP for each Immediate FW and AS you put in play|Ricevi 1 PC in più per le carte Sapienza Proibita e Scienza Aliena di tipo Imm da te giocate.|?|D|2 FW|1 SE + 2 OBS|1 EN + 2 FW
|TIARAOFDAGON|FW|C|Tiara of Dagon|Tiara di Dagon|Supreme Priest|Alto Sacerdote|You gain one more KP for each KP you would gain from your DMs' dark bonds|Ricevi 1 PC in più per i PC ottenuti dal Legame Oscuro delle carte Maestro Oscuro.|?||||
